date,volume,chlorine,cholera,chol_highcov,chol_lowcov,rain
28/03/2010,3743,0.5,5,4,1,3.352
29/03/2010,4064,0.66,2,1,1,0
30/03/2010,2795,0.7,5,4,1,0
31/03/2010,3367,0.6,2,0,2,0.431
01/04/2010,2691,0.4,5,2,3,18.658
02/04/2010,3895,0.7,3,1,2,2.072
03/04/2010,4047,0.83,4,2,2,0
04/04/2010,3983,0.6,5,3,2,1.516
05/04/2010,3761,0.74,3,3,0,0
06/04/2010,3256,0.73,4,3,1,0.841
07/04/2010,3062,0.7,4,4,0,0
08/04/2010,3313,0.6,3,2,1,0.628
09/04/2010,3389,0.44,3,3,0,0
10/04/2010,3921,0.55,3,2,1,0
11/04/2010,3085,0.8,4,2,2,0.821
12/04/2010,3047,0.8,4,0,4,1.09
13/04/2010,3837,0.6,4,3,1,0.249
14/04/2010,4496,0.62,5,3,2,3.456
15/04/2010,2820,0.3,3,0,3,6.316
16/04/2010,3539,0.8,4,3,1,0.178
17/04/2010,3947,0.7,2,1,1,0
18/04/2010,4191,0.71,2,2,0,1.643
19/04/2010,4659,0.55,3,1,2,0.522
20/04/2010,5173,0.64,3,1,2,0.438
21/04/2010,4588,0.55,6,2,4,0
22/04/2010,4172,0.6,10,3,7,0
23/04/2010,4548,0.68,4,3,1,0.466
24/04/2010,3740,0.6,5,2,3,0.036
25/04/2010,3473,0.6,3,2,1,1.656
26/04/2010,2817,0.8,4,1,3,5.845
27/04/2010,4347,0.6,3,2,1,0
28/04/2010,4124,0.56,4,2,2,0
29/04/2010,3364,0.6,3,1,2,0
30/04/2010,3649,0.6,4,1,3,3.688
01/05/2010,4637,0.6,5,2,3,0.89
02/05/2010,1822,0.42,5,0,5,16.578
03/05/2010,3122,0.8,3,1,2,3.13
04/05/2010,3480,0.7,4,1,3,0
05/05/2010,4145,0.8,4,0,4,1.78
06/05/2010,3201,0.7,6,5,1,6.565
07/05/2010,3027,0.8,1,1,0,0.391
08/05/2010,3075,0.7,2,0,2,0
09/05/2010,3574,0.52,2,2,0,0
10/05/2010,3532,0.5,2,1,1,0
11/05/2010,4251,0.8,3,1,2,8.811
12/05/2010,3837,0.7,2,1,1,0.293
13/05/2010,4095,0.5,1,1,0,1.415
14/05/2010,4021,0.74,2,1,1,2.048
15/05/2010,2767,0.6,2,2,0,0
16/05/2010,0,0,1,1,0,0
17/05/2010,3675,0.6,2,0,2,0
18/05/2010,3954,0.7,3,0,3,0
19/05/2010,5113,0.81,1,0,1,1.536
20/05/2010,4468,0.5,2,1,1,0
21/05/2010,4195,1,2,1,1,0
22/05/2010,4063,0.9,3,1,2,1.658
23/05/2010,4322,0.4,2,1,1,0
24/05/2010,4143,0.6,2,1,1,0
25/05/2010,3295,0.4,2,1,1,5.901
26/05/2010,4761,0.55,2,2,0,0
27/05/2010,4613,0.4,3,0,3,0
28/05/2010,4305,0.9,2,1,1,0
29/05/2010,4505,0.7,3,2,1,0
30/05/2010,4027,0.6,2,1,1,1.361
31/05/2010,4223,0.51,1,0,1,0.404
01/06/2010,3784,0.5,4,1,3,0.621
02/06/2010,2836,0.5,1,0,1,0.388
03/06/2010,4274,0.6,3,2,1,0
04/06/2010,3970,0.47,6,2,4,6.042
05/06/2010,4505,0.37,2,1,1,1.899
06/06/2010,3145,0.35,2,1,1,2.494
07/06/2010,3405,0.59,3,2,1,0
08/06/2010,4800,0.49,3,2,1,0
09/06/2010,5120,0.3,3,2,1,0
10/06/2010,2246,0.3,2,0,2,0
11/06/2010,4485,0.4,6,1,5,0
12/06/2010,4570,0.4,5,0,5,0
13/06/2010,4802,0.5,4,0,4,0
14/06/2010,3175,0.48,2,1,1,0
15/06/2010,2304,0.3,4,0,4,0.566
16/06/2010,4794,0.4,2,1,1,2.258
17/06/2010,4895,0.36,6,0,6,0
18/06/2010,2450,0.29,18,12,6,0
19/06/2010,3905,0.49,11,7,4,0
20/06/2010,4251,0.42,15,10,5,0
21/06/2010,3334,0.54,13,11,2,0.235
22/06/2010,2215,0.3,9,7,2,0
23/06/2010,3800,0.7,5,5,0,0
24/06/2010,3383,0.58,16,11,5,0
25/06/2010,3600,0.3,16,8,8,0
26/06/2010,4150,0.6,15,9,6,0.355
27/06/2010,3959,0.58,10,4,6,0
28/06/2010,1650,0.2,7,2,5,1.004
29/06/2010,3321,,4,2,2,0
30/06/2010,4183,0.41,7,3,4,0
01/07/2010,3683,0.36,7,3,4,0
02/07/2010,3034,0.7,5,4,1,0
03/07/2010,3501,0.4,6,4,2,0
04/07/2010,4110,,6,4,2,0
05/07/2010,3731,0.7,6,5,1,0
06/07/2010,4223,0.66,5,2,3,0
07/07/2010,4171,0.5,3,2,1,0
08/07/2010,3185,0.5,4,2,2,0
09/07/2010,3363,0.25,4,2,2,0
10/07/2010,4672,0.6,4,3,1,0
11/07/2010,3328,0.6,4,0,4,0
12/07/2010,3839,0.5,2,2,0,0.21
13/07/2010,3403,0.5,2,1,1,0
14/07/2010,4140,0.5,1,0,1,0
15/07/2010,4480,0.54,3,1,2,0
16/07/2010,3723,0.54,3,1,2,0
17/07/2010,4168,0.5,5,2,3,0
18/07/2010,4694,0.52,4,3,1,0
19/07/2010,4093,0.6,3,1,2,0
20/07/2010,4524,0.6,3,1,2,0
21/07/2010,4425,0.53,3,1,2,0
22/07/2010,3189,0.5,3,1,2,0.063
23/07/2010,4227,0.6,2,0,2,0.147
24/07/2010,4692,0.6,1,0,1,0
25/07/2010,4438,0.5,3,0,3,0
26/07/2010,4558,0.5,0,0,0,0
27/07/2010,4422,0.5,0,0,0,0
28/07/2010,2814,0.5,10,4,6,0
29/07/2010,3880,0.53,2,2,0,0.198
30/07/2010,4785,0.5,2,1,1,0
31/07/2010,4473,0.5,1,1,0,0
01/08/2010,4411,0.5,1,1,0,0.781
02/08/2010,2935,0.4,3,0,3,0
03/08/2010,4235,0.55,2,1,1,0
04/08/2010,4498,0.6,4,1,3,0
05/08/2010,4226,0.6,4,3,1,0
06/08/2010,4346,0.45,6,1,5,0
07/08/2010,4275,0.5,2,1,1,0
08/08/2010,4505,0.4,2,1,1,0.653
09/08/2010,4355,0.6,3,2,1,0
10/08/2010,4051,0.6,2,1,1,0
11/08/2010,3341,0.56,1,1,0,0
12/08/2010,4297,0.5,2,0,2,0.239
13/08/2010,4181,0.6,2,0,2,0
14/08/2010,3239,0.5,2,1,1,0
15/08/2010,4440,0.6,5,3,2,0.303
16/08/2010,4179,0.45,2,1,1,0
17/08/2010,4123,0.6,2,2,0,1.553
18/08/2010,4221,0.5,2,0,2,3.225
19/08/2010,4774,0.45,2,1,1,1.499
20/08/2010,3551,0.6,3,0,3,0
21/08/2010,4424,0.5,0,0,0,0
22/08/2010,4440,0.5,3,0,3,0.163
23/08/2010,4473,0.6,3,1,2,0
24/08/2010,3195,0.5,5,2,3,2.069
25/08/2010,4292,0.3,4,1,3,4.062
26/08/2010,4132,0.5,3,2,1,0
27/08/2010,4563,0.55,5,1,4,0
28/08/2010,3983,0.45,3,1,2,0.837
29/08/2010,3498,0.4,3,2,1,0
30/08/2010,3908,0.6,3,1,2,0
31/08/2010,4348,0.5,5,0,5,0
01/09/2010,4282,0.4,4,0,4,0
